priorstate,Down,Flat,Up
Down,0.32323232323232326,0.09090909090909091,0.5858585858585859
Flat,0.4,0.06666666666666667,0.5333333333333333
Up,0.5213675213675214,0.03418803418803419,0.4444444444444444
